pwm,newtons,grams
1000,0.00827,0.84293
1025,0.01948,1.98590
1050,0.00918,0.93615
1075,0.00000,0.00000
1100,0.00027,0.02742
1125,1.08270,110.40110
1150,6.76638,689.95380
1175,9.06295,924.13086
1200,11.01917,1123.60205
1225,12.84473,1309.75085
1250,12.83899,1309.16565
1275,16.50033,1682.50525
1300,18.21756,1857.60754
1325,19.39573,1977.74377
1350,21.14146,2155.75171
1375,22.08991,2252.46387
1400,23.19527,2365.17505
1425,24.00354,2447.59277
1450,24.06228,2453.58252
1475,22.82769,2327.69360
1500,21.62525,2205.08325
1525,24.10369,2457.80493
1550,25.67475,2618.00220
1575,27.88265,2843.13770
1600,28.95208,2952.18555
1625,30.95354,3156.27026
1650,33.17430,3382.71606
1675,35.23829,3593.17749
1700,37.41186,3814.81152
1725,39.55069,4032.90405
1750,42.17776,4300.78076
1775,44.65451,4553.33057
1800,46.92566,4784.91455
1825,49.21069,5017.91455
1850,51.09767,5210.32617
1875,53.05162,5409.56689
1900,56.05457,5715.77100
1925,58.55111,5970.33838
1950,60.20458,6138.93945
1975,60.52727,6171.84375
2000,60.41175,6160.06396
