pwm,newtons,grams
1000,0.00545,0.55542
1010,0.00314,0.32041
1020,0.00161,0.16373
1030,0.00400,0.40736
1040,0.00223,0.22718
1050,0.00098,0.10027
1060,0.00634,0.64630
1070,0.00201,0.20525
1080,0.00111,0.11281
1090,0.00253,0.25774
1100,0.03707,3.77987
1110,0.07164,7.30513
1120,0.14304,14.58598
1130,0.21022,21.43596
1140,0.26217,26.73247
1150,0.31195,31.80885
1160,0.36060,36.77008
1170,0.40197,40.98786
1180,0.44665,45.54407
1190,0.49311,50.28124
1200,0.53347,54.39640
1210,0.57790,58.92754
1220,0.62159,63.38190
1230,0.66287,67.59185
1240,0.71448,72.85390
1250,0.76303,77.80415
1260,0.80768,82.35723
1270,0.84966,86.63767
1280,0.90257,92.03368
1290,0.94862,96.72855
1300,0.98810,100.75440
1310,1.02843,104.86722
1320,1.07355,109.46808
1330,1.11397,113.58950
1340,1.15702,117.97884
1350,1.20175,122.53976
1360,1.24610,127.06228
1370,1.27702,130.21544
1380,1.31809,134.40346
1390,1.35388,138.05249
1400,1.38165,140.88445
1410,1.41321,144.10185
1420,1.44660,147.50725
1430,1.48245,151.16255
1440,1.51873,154.86174
1450,1.56027,159.09753
1460,1.59794,162.93852
1470,1.63058,166.26714
1480,1.67477,170.77242
1490,1.68387,171.70074
1500,1.71152,174.52016
1510,1.75606,179.06227
1520,1.78725,182.24207
1530,1.79872,183.41168
1540,1.82992,186.59302
1550,1.87041,190.72151
1560,1.89070,192.79045
1570,1.93360,197.16570
1580,1.94731,198.56325
1590,1.97464,201.34978
1600,2.01177,205.13593
1610,2.03861,207.87309
1620,2.05458,209.50175
1630,2.09938,214.06972
1640,2.11366,215.52527
1650,2.14193,218.40816
1660,2.16132,220.38544
1670,2.21153,225.50490
1680,2.22049,226.41911
1690,2.26133,230.58284
1700,2.28087,232.57579
1710,2.31673,236.23189
1720,2.34892,239.51430
1730,2.36827,241.48767
1740,2.38983,243.68665
1750,2.42945,247.72661
1760,2.45264,250.09088
1770,2.46957,251.81670
1780,2.49584,254.49590
1790,2.51988,256.94714
1800,2.56166,261.20718
1810,2.58195,263.27612
1820,2.60687,265.81747
1830,2.63453,268.63770
1840,2.63533,268.71915
1850,2.63683,268.87268
1860,2.63953,269.14767
1870,2.77956,283.42654
1880,2.82999,288.56873
1890,2.85605,291.22525
1900,2.89734,295.43594
1910,2.95278,301.08890
1920,3.03830,309.80887
1930,3.08950,315.03015
1940,3.14084,320.26559
1950,3.21144,327.46414
1960,3.30831,337.34195
1970,3.37623,344.26718
1980,3.40596,347.29886
1990,3.47162,353.99451
2000,3.51565,358.48337
